title,country,premiere,premiere_pl,director,genre,length,rate_fwb,votes_fwb,want_fwb,boxoffice,budget,gross_usa,rate_imdb,votes_imdb,oscar_nom,oscar_won,rasp_nom,rasp_won,gold_nom,gold_won,gga,bafta
Sniadanie u Tiffanyego,USA,1961,1961,Blake Edwards,Melodramat,115,7.8,131 241,44 201,14 000 000,2 500 000,8 000 000,7.7,137 582,3,2,0,0,0,0,0,0
Jeden dzien,USA,2011,2011,Lone Scherfig,Melodramat,108,7.5,150 216,34 959,59 389 433,15 000 000,13 843 771,7,117 871,0,0,0,0,0,0,0,0
Podaj dalej,USA,2000,2001,Mimi Leder,Dramat,124,7.6,164 003,58 851,55 707 411,40 000 000,33 519 628,7.2,102 394,0,0,0,0,0,0,0,0
Wciaz ja kocham,USA,2010,2010,Lasse Hallstrom,Melodramat,105,7.3,146 365,21 008,114 977 104,25 000 000,80 014 842,6.3,117 329,0,0,0,0,0,0,0,0
Obecnosc 2,USA,2016,2016,James Wan ,Horror,134,7.1,89 851,16 466,320 270 008,40 000 000,102 470 008,7.4,157 213,0,0,0,0,0,0,0,0
Twoj na zawsze,USA,2010,2010,Allen Coulter,Melodramat,113,7.4,116 042,23 348,56 032 889,16 000 000,19 068 240,7.2,122 499,0,0,1,0,0,0,0,0
John Q.,USA,2002,2002,Nick Cassavetes,Dramat,116,7.5,117 656,53 539,102 244 770,36 000 000,71 756 802,7.1,107 385,0,0,0,0,0,0,0,0
Last Vegas,USA,2013,2013,Jon Turteltaub,Komedia,105,6.9,93 339,13 182,134 402 450,28 000 000,63 914 167,6.6,115 092,0,0,0,0,0,0,0,0
Woda dla sloni,USA,2011,2011,Francis Lawrence,Melodramat,120,7.2,90 153,23 448,117 094 902,38 000 000,58 709 717,6.9,100 903,0,0,0,0,0,0,0,0
Scooby-Doo,USA,2002,2002,Raja Gosnell,Familijny,87,5.7,32 480,950,275 650 703,84 000 000,153 288 182,5,78 931,0,0,2,0,0,0,0,0
